Couplet,Poet
"وَحۡدَہٗ جَي وَڍِيا، ڪِئا اِلّاَاللهَ اَڌَ،
سِ ڌَڙَ پَسِي سَڌَ، ڪِه اَڀاڳِيَ نہ ٿِئي.",Shah Abdul Latif Bhitai
"وَحۡدَہٗ لا شَرِيکَ لَهٗ، اِيُّ ھيڪَڙائِيَ حَقُّ،
ٻِئائِيَ کي ٻَکُ، جَنِ وڌو سي وِرَسِئا.",Shah Abdul Latif Bhitai
"پاڻِهۡ پَسي پاڻَ کي، پاڻِهۡ  ئِي محبوبُ،
پاڻِهۡ خَلقي خُوبُ، پاڻِهۡ ئِي طالبُ تِن جو.",Shah Abdul Latif Bhitai
"سو ھِيُ، سو ھُو، سـو اَجلُ، سو اللهُ،
سو پِرين، سو پَساھُ، سو ويرِي، سو واھَرُو.",Shah Abdul Latif Bhitai
"پڙاڏو، سو سَڏُ، وَرُ وائِيَ، جو جَي لَھين،
ھُئا اَڳِھِمۡ گَڏُ، ٻُڌڻَ ۾ ٻَہ ٿِئا.",Shah Abdul Latif Bhitai
"ايڪُ قَصَرُ، دَرَ لَکَ، ڪوڙِين ڪَڻِسِ ڳِڙکِيُون،
جيڏاہُ ڪريان پَرَکَ، تيڏاہُ صاحبُ سامُهون.",Shah Abdul Latif Bhitai
"اَگِهي آَگهائِي، رَنجُ پِرِيان کي رَسيو،
چَکِيَم چڱائِي، سورانگهي سُورِيءَ تان.",Shah Abdul Latif Bhitai
"سُورِيءَ سَڏُ ٿِيو، ڪا ھَلَندِي جيڏِيُون؟
وَڃَڻُ تَنِ پِيو، نالو نيِهُ ڳِنَنِ جي.",Shah Abdul Latif Bhitai
"سُورِيءَ مَٿي سيڻَ، ڪِھَڙي ليکي سَنَرا؟
جيلَه لَڳا نيڻَ، تي سُورِيائي سيجَ ٿِي.",Shah Abdul Latif Bhitai
"سُورِيَ چڙهڻُ، سيڄَ پَسڻُ، اِيُ ڪَمُ عاشِقَنِ،
پاھُون ڪِينَ پَسَنِ، سائُو ھَلَنِ سامُها.",Shah Abdul Latif Bhitai
"ڪاتِي تِکِي مَ ٿيي، مَرُ مُنِيائي هوءِ،
مانَ وِرمَنِ توءِ، مون پريان جا هَٿڙَا.",Shah Abdul Latif Bhitai
"ڪاتي جا قريبَ جي، سا هَڏَ چِيري چَمُ،
عاشقَن پَھِجو اڱُ، للهِ ڪارڻِ وَڍئو.",Shah Abdul Latif Bhitai
"جان وَڍين تان ويهُ، نہ تہ وٺِئو واٽَ وانءُ تون،
هِيُ تَنِين جو ڏيهُ، ڪاتِي جَنِين ھَٿَ ۾.",Shah Abdul Latif Bhitai
"سِرُ جُدا، ڌَڙَ ڌارَ، دوڳَ جَنِين جا ديڳ ۾،
سي مَرُڪن پَچارَ، ھَڪيا جَنِ جي هَٿَ ۾.",Shah Abdul Latif Bhitai
"ديڳيين دوڳَ ڪَڙهنِ، جِتِ ڪَڙِيين ڪَڙَڪو نہ لھي،
تِتي طَبِيبَنِ، چاڪَ چِڪَندا ڇَڏئا.",Shah Abdul Latif Bhitai
"سِسِي سي گُهرَنِ، جَي واٽِندَڙَ وِچَ ۾،
اُوءِ ڪِي ٻئو پُڇَنِ، سَرو جَنِ سَنباھِيو؟",Shah Abdul Latif Bhitai
"مُلِ مَھَنگو قَطَرو، سِڪَڻُ شَھادتَ،
اَسان عِبادَتَ، نَظَرُ نازُ پِرِيَنِ جو.",Shah Abdul Latif Bhitai
